Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.99 1 -13.615, 1.051795, 0, 11.35914,9.055982,2.712391,2.738453,5.079136,7.259929,9.692444
2, 12.99 1 -13.315, 1.051795, 0, 11.15648,8.933027,2.614286,2.46483,4.833202,6.959935,9.435837
3, 12.99 1 -13.015, 0.9846291, 0, 10.95829,8.818569,2.547924,2.198101,4.593699,6.659941,9.181859
4, 12.99 1 -12.715, 0.6846288, 0, 10.7648,8.712942,2.515818,1.94111,4.361684,6.359948,8.930737
5, 12.99 1 -12.415, 0.3846285, 0, 10.57629,8.616469,2.519279,1.698284,4.138418,6.059956,8.682718
6, 12.77787 1 -12.20287, 0.1724961, 7, 10.2784,8.35073,2.333793,1.692551,3.838564,5.850034,8.387638
7, 12.56573 1 -11.99074, 0.1705179, 7, 9.980637,8.087387,2.174032,1.739337,3.538734,5.64825,8.09292
8, 12.3536 1 -11.7786, 0.3826502, 7, 9.683008,7.826683,2.04603,1.834627,3.238936,5.455507,7.798604
9, 12.14147 1 -11.56647, 0.2032652, 7, 9.385531,7.568891,1.956033,1.9714,2.93918,5.272798,7.504739
10, 11.92934 1 -11.35434, 0.09375048, 7, 9.088221,7.314318,1.909422,2.141724,2.639479,5.101199,7.211379
11, 11.71721 1 -11.14221, 0.3058829, 7, 8.791092,7.063313,1.909376,2.338279,2.339854,4.941868,6.918588
12, 11.4172 1 -11.14221, 0.3058829, 6, 8.553185,6.769204,1.729638,2.638218,2.150906,5.024795,6.763739
13, 11.1172 1 -11.14221, 0.3058829, 6, 8.319294,6.475636,1.586689,2.938169,1.989441,5.123971,6.618873
14, 10.8172 1 -11.14221, 0.3058829, 6, 8.089767,6.182684,1.491145,3.23813,1.86262,5.238471,6.484657
15, 10.5172 1 -11.14221, 0.3058829, 6, 7.864985,5.890442,1.452393,3.538097,1.777872,5.367316,6.361768
16, 10.2172 1 -11.14221, 0.3058829, 6, 7.64537,5.599021,1.474916,3.83807,1.741353,5.5095,6.250872
17, 9.917204 1 -11.14221, 0.3058829, 6, 7.431376,5.308557,1.556055,4.138046,1.756072,5.664017,6.152617
18, 9.617204 1 -11.14221, 0.3058829, 6, 7.223505,5.019214,1.687377,4.438026,1.820787,5.829888,6.06762
19, 9.317204 1 -11.14221, 0.3058829, 6, 7.0223,4.731198,1.858272,4.738008,1.930478,6.006172,5.996442
20, 9.017203 1 -11.14221, 0.3058829, 6, 6.828351,4.444768,2.058909,5.037992,2.078034,6.191979,5.939581
21, 8.717203 1 -11.14221, 0.4025178, 6, 6.642293,4.160252,2.281456,5.337979,2.256037,6.386479,5.897451
22, 8.717203 1 -10.84221, 0.1025176, 0, 6.406304,4.071801,2.483172,5.34359,2.033618,6.164813,5.599566
23, 8.717203 1 -10.5422, 0.5526648, 0, 6.175873,4.003926,2.703192,5.365994,1.83344,5.950018,5.301919
24, 8.717203 1 -10.2422, 0.5526648, 0, 5.951645,3.957687,2.937406,5.404983,1.66355,5.742867,5.004554
25, 8.717203 1 -9.942204, 0.5526648, 0, 5.734349,3.933847,3.182681,5.460199,1.534047,5.544216,4.707522
