Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.99 1 -13.615, 1.051795, 0, 11.35914,9.055982,2.712391,2.738453,5.079136,7.259929,9.692444
2, 12.99 1 -13.315, 1.051795, 0, 11.15648,8.933027,2.614286,2.46483,4.833202,6.959935,9.435837
3, 12.99 1 -13.015, 0.9846291, 0, 10.95829,8.818569,2.547924,2.198101,4.593699,6.659941,9.181859
4, 12.99 1 -12.715, 0.6846288, 0, 10.7648,8.712942,2.515818,1.94111,4.361684,6.359948,8.930737
5, 12.69 1 -12.715, 0.6951903, 6, 10.53523,8.431098,2.216212,2.120584,4.172779,6.364885,8.767879
6, 12.39 1 -12.715, 0.4517946, 6, 10.30927,8.15055,1.916729,2.325047,3.997485,6.383933,8.612394
7, 12.39 1 -12.415, 0.4517946, 0, 10.11227,8.047338,1.921269,2.126524,3.752613,6.085123,8.35493
8, 12.39 1 -12.115, 0.3684751, 0, 9.920434,7.954108,1.971979,1.954064,3.516294,5.786437,8.100394
9, 12.39 1 -11.815, 0.3462534, 0, 9.734064,7.871215,2.065461,1.815112,3.290372,5.487893,7.849072
10, 12.39 1 -11.515, 0.3462532, 0, 9.553481,7.798988,2.196259,1.717816,3.077137,5.189518,7.60128
11, 12.39 1 -11.215, 0.3462532, 0, 9.37902,7.737725,2.358174,1.669477,2.879408,4.891342,7.357376
12, 12.09 1 -11.215, 0.3035888, 6, 9.134331,7.443148,2.122083,1.968787,2.653072,4.934374,7.183914
13, 11.79 1 -11.215, 0.233089, 6, 8.893031,7.149021,1.904072,2.26828,2.442661,4.995086,7.018991
14, 11.49 1 -11.215, 0.233089, 6, 8.655403,6.855403,1.711066,2.567891,2.252642,5.07284,6.863226
15, 11.19 1 -11.215, 0.233089, 6, 8.421758,6.562363,1.552418,2.867583,2.088587,5.166869,6.717254
16, 10.89 1 -11.215, 0.233089, 6, 8.192435,6.269981,1.439533,3.167334,1.957038,5.276302,6.581728
17, 10.59 1 -11.215, 0.233089, 6, 7.96781,5.978354,1.383659,3.467127,1.864886,5.400203,6.457303
18, 10.29 1 -11.215, 0.233089, 6, 7.74829,5.687598,1.391678,3.766954,1.818131,5.537601,6.344635
19, 9.989998 1 -11.215, 0.233089, 6, 7.534321,5.397853,1.46254,4.066806,1.820276,5.687517,6.244359
20, 9.689998 1 -11.215, 0.233089, 6, 7.32639,5.109293,1.587854,4.366679,1.871151,5.848989,6.157082
21, 9.389997 1 -11.215, 0.233089, 6, 7.125026,4.822129,1.756,4.666568,1.96698,6.021089,6.083362
22, 9.089997 1 -11.215, 0.233089, 6, 6.9308,4.536627,1.955963,4.96647,2.101621,6.202929,6.023696
23, 8.789997 1 -11.215, 0.3515621, 6, 6.74433,4.253121,2.179002,5.266384,2.268174,6.393682,5.978508
24, 8.489997 1 -11.215, 0.3254585, 6, 6.566277,3.972039,2.418741,5.566307,2.460166,6.592571,5.948124
25, 8.489997 1 -10.915, 0.2504823, 0, 6.324001,3.873665,2.601487,5.567768,2.248253,6.374647,5.649045
