,Position,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
0, 12.99 1 -14.215,4,11.77693,9.326008,2.990354,3.299485,5.586876,7.859919,10.21276
1, 12.99 1 -14.515,4,11.99162,9.472394,3.163035,3.584738,5.847304,8.159914,10.47611
2, 12.99 1 -14.815,4,12.20992,9.625906,3.353709,3.87222,6.111362,8.459909,10.74139
3, 12.69 1 -14.815,6,12.008,9.371559,3.135222,3.965231,5.978005,8.463622,10.60637
4, 12.39 1 -14.815,6,11.81025,9.119987,2.93119,4.078238,5.856991,8.477955,10.4782
5, 12.09 1 -14.815,6,11.61689,8.871428,2.744836,4.209631,5.7491,8.502855,10.35713
6, 11.79 1 -14.815,6,11.42813,8.626139,2.579996,4.357748,5.655082,8.53823,10.24343
7, 11.49 1 -14.815,6,11.2442,8.38441,2.441032,4.520944,5.575639,8.58395,10.13733
8, 11.19 1 -14.815,6,11.06535,8.146557,2.332572,4.697649,5.511402,8.639852,10.03908
9, 10.89 1 -14.815,6,10.89183,7.912929,2.259014,4.886396,5.462907,8.705737,9.948908
10, 10.59 1 -14.815,6,10.7239,7.683911,2.223826,5.085847,5.430576,8.781384,9.867036
11, 10.29 1 -14.815,6,10.56182,7.459929,2.228824,5.294791,5.414698,8.866539,9.793673
12, 9.989998 1 -14.815,6,10.40587,7.24145,2.273744,5.512149,5.415419,8.960935,9.729011
13, 9.689998 1 -14.815,6,10.25632,7.028986,2.356304,5.736964,5.432731,9.064281,9.673225
14, 9.389997 1 -14.815,6,10.11346,6.823101,2.472736,5.968394,5.466476,9.176274,9.62647
15, 9.089997 1 -14.815,6,9.977576,6.624406,2.618527,6.205699,5.516355,9.296603,9.588877
16, 8.789997 1 -14.815,6,9.848961,6.433569,2.789075,6.44823,5.581933,9.424949,9.560554
17, 8.489997 1 -14.815,6,9.7279,6.251309,2.980134,6.695419,5.662665,9.560988,9.541583
18, 8.189997 1 -14.815,6,9.614678,6.078398,3.188017,6.94677,5.757914,9.704397,9.532022
19, 7.889997 1 -14.815,6,9.509576,5.915656,3.40965,7.201846,5.866974,9.854855,9.531898
