,Position,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
20, 7.589996 1 -14.815,6,9.412866,5.763943,3.642522,7.460265,5.989089,10.01204,9.541211
21, 7.289996 1 -14.815,6,9.324807,5.624153,3.884614,7.721692,6.123478,10.17565,9.559935
22, 6.989996 1 -14.815,6,9.245649,5.497195,4.134306,7.985832,6.269353,10.34537,9.588012
23, 6.689996 1 -14.815,6,9.175622,5.383977,4.390301,8.252422,6.425932,10.52091,9.625362
24, 6.389996 1 -14.815,6,9.114935,5.285382,4.651559,8.521235,6.592451,10.70198,9.671879
25, 6.089995 1 -14.815,6,9.063777,5.202242,4.917241,8.792066,6.768176,10.8883,9.727429
26, 5.789995 1 -14.815,6,9.022308,5.135307,5.186667,9.064734,6.952411,11.07962,9.79186
27, 5.489995 1 -14.815,6,8.990664,5.085217,5.459284,9.339078,7.144496,11.27567,9.864996
28, 5.189995 1 -14.815,6,8.968949,5.052474,5.734635,9.614954,7.343815,11.47622,9.946647
29, 4.889995 1 -14.815,6,8.957234,5.037415,6.012345,9.892236,7.549797,11.68103,10.0366
30, 4.589994 1 -14.815,6,8.955561,5.040199,6.292103,10.17081,7.761909,11.88988,10.13465
31, 4.289994 1 -14.815,6,8.963931,5.060797,6.573646,10.45056,7.979664,12.10257,10.24054
32, 3.989994 1 -14.815,6,8.98232,5.098992,6.856754,10.73141,8.202613,12.31889,10.35405
33, 3.689994 1 -14.815,6,9.010664,5.154394,7.141242,11.01327,8.430341,12.53865,10.47492
34, 3.389994 1 -14.815,6,9.048871,5.226456,7.42695,11.29607,8.662474,12.76169,10.6029
35, 3.089994 1 -14.815,6,9.096817,5.314499,7.713744,11.57973,8.898666,12.98782,10.73775
36, 2.789994 1 -14.815,6,9.154347,5.417745,8.001507,11.8642,9.138603,13.21689,10.87919
37, 2.489995 1 -14.815,6,9.221284,5.535342,8.290136,12.14941,9.381997,13.44876,11.02699
38, 2.189995 1 -14.815,6,9.297423,5.666399,8.579546,12.43532,9.628586,13.68327,11.18088
39, 1.889995 1 -14.815,6,9.382542,5.810002,8.86966,12.72187,9.878131,13.9203,11.34062
40, 1.589995 1 -14.815,6,9.476397,5.965248,9.160411,13.00904,10.13041,14.15972,11.50597
41, 1.289995 1 -14.815,6,9.578732,6.131251,9.451739,13.29677,10.38523,14.4014,11.67669
42, 0.9899947 1 -14.815,6,9.689278,6.307163,9.743595,13.58503,10.64241,14.64525,11.85254
43, 0.6899947 1 -14.815,6,9.807757,6.492177,10.03593,13.87379,10.90177,14.89114,12.0333
44, 0.3899947 1 -14.815,6,9.933887,6.685538,10.32871,14.16301,11.16318,15.13899,12.21875
45, 0.08999467 1 -14.815,6,10.06738,6.886543,10.62188,14.45268,11.42647,15.38869,12.40869
46, -0.2100053 1 -14.815,6,10.20794,7.094543,10.91543,14.74276,11.69154,15.64016,12.6029
47, -0.5100054 1 -14.815,6,10.35529,7.308939,11.20932,15.03322,11.95826,15.89331,12.8012
48, -0.5100054 1 -14.515,0,10.09698,7.105546,11.15376,14.96175,11.82549,15.73568,12.57944
49, -0.5100054 1 -14.215,0,9.841042,6.909194,11.10602,14.89598,11.6989,15.58222,12.36098
50, -0.5100054 1 -13.915,0,9.587653,6.720502,11.06622,14.83599,11.57871,15.43307,12.146
51, -0.5100054 1 -13.615,0,9.337028,6.540133,11.03443,14.78184,11.46511,15.28836,11.93469
52, -0.5100054 1 -13.315,0,9.089395,6.368793,11.01072,14.7336,11.3583,15.1482,11.72725
53, -0.5100054 1 -13.015,0,8.845003,6.20723,10.99516,14.69134,11.25847,15.01273,11.52389
54, -0.5100054 1 -12.715,0,8.604132,6.056227,10.98776,14.65509,11.16582,14.88208,11.32482
55, -0.5100054 1 -12.415,0,8.367084,5.916593,10.98855,14.62491,11.08051,14.75637,11.13028
56, -0.5100054 1 -12.115,0,8.134192,5.78915,10.99753,14.60083,11.00272,14.63573,10.9405
57, -0.5100054 1 -11.815,0,7.905826,5.67472,11.01468,14.58288,10.93262,14.52028,10.75575
58, -0.5100054 1 -11.515,0,7.682387,5.574103,11.03996,14.57109,10.87034,14.41016,10.57628
59, -0.5100054 1 -11.215,0,7.46432,5.488061,11.0733,14.56547,10.81603,14.30548,10.40236
60, -0.5100054 1 -10.915,0,7.252108,5.417287,11.11465,14.56603,10.76981,14.20637,10.23429
61, -0.5100054 1 -10.615,0,7.04628,5.362387,11.16391,14.57276,10.73178,14.11294,10.07235
62, -0.5100054 1 -10.315,0,6.847414,5.32385,11.22098,14.58567,10.70202,14.02531,9.916843
63, -0.5100054 1 -10.015,0,6.65613,5.302034,11.28573,14.60472,10.68061,13.94358,9.768076
64, -0.5100054 1 -9.714998,0,6.473104,5.297146,11.35804,14.62991,10.6676,13.86786,9.626362
65, -0.5100054 1 -9.414998,0,6.299053,5.309232,11.43777,14.66119,10.66301,13.79825,9.492017
66, -0.5100054 1 -9.114998,0,6.134743,5.338177,11.52476,14.69853,10.66687,13.73484,9.365357
67, -0.5100054 1 -8.814998,0,5.980976,5.383708,11.61884,14.74188,10.67915,13.67772,9.246699
68, -0.5100054 1 -8.514997,0,5.838584,5.445412,11.71985,14.79119,10.69984,13.62696,9.136354
69, -0.5100054 1 -8.214997,0,5.708421,5.522744,11.82761,14.8464,10.72888,13.58264,9.034629
70, -0.5100054 1 -7.914997,0,5.591339,5.615059,11.94193,14.90744,10.7662,13.54483,8.941814
71, -0.5100054 1 -7.614997,0,5.488175,5.721632,12.06264,14.97425,10.81172,13.51357,8.858192
72, -0.5100054 1 -7.314997,0,5.399729,5.841683,12.18953,15.04674,10.86533,13.4889,8.784026
73, -0.5100054 1 -7.014997,0,5.326732,5.9744,12.32242,15.12484,10.92692,13.47088,8.719556
74, -0.5100054 1 -6.714996,0,5.269827,6.118958,12.46112,15.20845,10.99636,13.45953,8.664998
75, -0.5100054 1 -6.414996,0,5.229539,6.274539,12.60543,15.29749,11.07349,13.45485,8.620541
76, -0.5100054 1 -6.114996,0,5.206254,6.440343,12.75517,15.39186,11.15815,13.45686,8.586341
77, -0.5100054 1 -5.814996,0,5.2002,6.615604,12.91014,15.49147,11.25018,13.46556,8.562523
78, -0.2100053 1 -5.814996,2,4.900212,6.377943,12.65581,15.20976,10.96626,13.1658,8.263121
79, 0.08999467 1 -5.814996,2,4.600225,6.145738,12.40352,14.92876,10.68321,12.86606,7.963764
80, 0.3899947 1 -5.814996,2,4.300241,5.919631,12.15339,14.64851,10.40111,12.56633,7.664457
81, 0.6899947 1 -5.814996,2,4.000258,5.700349,11.90558,14.36906,10.12005,12.26662,7.365206
82, 0.9899947 1 -5.814996,2,3.700279,5.488708,11.66021,14.09045,9.840099,11.96692,7.06602
83, 1.289995 1 -5.814996,2,3.400303,5.285628,11.41745,13.81274,9.561367,11.66723,6.766904
84, 1.589995 1 -5.814996,2,3.100332,5.092132,11.17748,13.53598,9.283962,11.36756,6.467872
85, 1.889995 1 -5.814996,2,2.800367,4.909353,10.94046,13.26024,9.008005,11.06791,6.168932
86, 2.189995 1 -5.814996,2,2.500411,4.738533,10.70661,12.98557,8.733633,10.76828,5.870101
87, 2.489995 1 -5.814996,2,2.200466,4.581008,10.47612,12.71204,8.461001,10.46866,5.571397
88, 2.789994 1 -5.814996,2,1.900538,4.438195,10.24924,12.43974,8.190284,10.16908,5.272839
89, 3.089994 1 -5.814996,2,1.600638,4.311556,10.0262,12.16873,7.921675,9.869512,4.974454
90, 3.389994 1 -5.814996,2,1.300784,4.202554,9.807263,11.89912,7.655399,9.569976,4.676276
91, 3.689994 1 -5.814996,2,1.001018,4.112591,9.592714,11.631,7.391706,9.270471,4.378347
92, 3.989994 1 -5.814996,2,0.701451,4.042938,9.382853,11.36447,7.130886,8.970997,4.080722
