Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.99 1 -14.215, 0.9953886, 4, 11.77693,9.326008,2.990354,3.299485,5.586876,7.859919,10.21276
2, 12.69 1 -14.215, 0.9500039, 6, 11.56746,9.06325,2.743076,3.408163,5.440679,7.863914,10.07065
3, 12.39 1 -14.215, 0.7028675, 6, 11.36204,8.802871,2.507334,3.539003,5.307427,7.879338,9.935576
4, 12.09 1 -14.215, 0.5054864, 6, 11.16092,8.545092,2.286695,3.689649,5.18812,7.906124,9.807818
5, 11.79 1 -14.215, 0.4750018, 6, 10.96431,8.290154,2.08596,3.857782,5.083737,7.944157,9.687669
6, 11.49 1 -14.215, 0.4750018, 6, 10.77247,8.038327,1.911409,4.041219,4.995216,7.993276,9.575415
7, 11.19 1 -14.215, 0.4750018, 6, 10.58565,7.789913,1.770802,4.237974,4.923412,8.053278,9.471335
8, 10.89 1 -14.215, 0.4750018, 6, 10.40413,7.54525,1.672721,4.446279,4.869065,8.123922,9.375704
9, 10.59 1 -14.215, 0.4750018, 6, 10.2282,7.304715,1.624885,4.664586,4.832762,8.204934,9.288781
10, 10.29 1 -14.215, 0.4750018, 6, 10.05813,7.068727,1.631719,4.891557,4.814914,8.296009,9.210814
11, 9.989998 1 -14.215, 0.4750018, 6, 9.894242,6.83776,1.692561,5.126042,4.815724,8.39682,9.14203
12, 9.689998 1 -14.215, 0.4750018, 6, 9.736838,6.612339,1.801949,5.367054,4.835184,8.507022,9.08264
13, 9.389997 1 -14.215, 0.4750018, 6, 9.586242,6.393049,1.951736,5.613755,4.873069,8.626254,9.032827
14, 9.089997 1 -14.215, 0.4750018, 6, 9.442777,6.180544,2.133432,5.865426,4.928956,8.754147,8.992753
15, 8.789997 1 -14.215, 0.5484849, 6, 9.306773,5.975549,2.339613,6.121453,5.00224,8.890326,8.962546
16, 8.489997 1 -14.215, 0.7389717, 6, 9.178563,5.778862,2.56438,6.381313,5.092172,9.03442,8.942308
17, 8.189997 1 -14.215, 0.9537598, 6, 9.058478,5.591359,2.803266,6.644557,5.197886,9.186053,8.932105
18, 7.889997 1 -14.215, 0.9953886, 6, 8.946844,5.413996,3.052959,6.910796,5.318441,9.34486,8.931973
19, 7.589996 1 -14.215, 0.9953886, 6, 8.843983,5.2478,3.311015,7.179699,5.452855,9.51048,8.941911
20, 7.289996 1 -14.215, 0.9953886, 6, 8.750201,5.093865,3.575622,7.450976,5.600128,9.682565,8.961886
21, 6.989996 1 -14.215, 0.9397845, 6, 8.665796,4.953334,3.84543,7.724379,5.759274,9.860776,8.991832
22, 6.689996 1 -14.215, 0.9953886, 6, 8.591043,4.827377,4.119416,7.999687,5.929337,10.04479,9.031649
23, 6.389996 1 -14.215, 0.9953886, 6, 8.526196,4.717164,4.3968,8.276712,6.109406,10.23428,9.081206
24, 6.089995 1 -14.215, 0.9953886, 6, 8.471483,4.623817,4.676977,8.555287,6.298623,10.42897,9.140347
25, 5.789995 1 -14.215, 0.9953886, 6, 8.427101,4.548378,4.959473,8.835266,6.496188,10.62856,9.208885
26, 5.489995 1 -14.215, 0.9953886, 6, 8.393214,4.491748,5.243913,9.116518,6.701363,10.83278,9.286614
27, 5.189995 1 -14.215, 0.9849041, 6, 8.369948,4.454645,5.529999,9.398929,6.91347,11.04137,9.373304
28, 4.889995 1 -14.215, 0.9255071, 6, 8.357395,4.437558,5.817486,9.682399,7.131891,11.2541,9.46871
29, 4.589994 1 -14.215, 0.9953886, 6, 8.3556,4.440718,6.106178,9.966836,7.356064,11.47073,9.572571
30, 4.289994 1 -14.215, 0.9953886, 6, 8.364572,4.464083,6.39591,10.25216,7.585478,11.69104,9.684614
31, 3.989994 1 -14.215, 0.9953886, 6, 8.384274,4.507338,6.686548,10.5383,7.819674,11.91483,9.804559
32, 3.689994 1 -14.215, 0.9953886, 6, 8.414634,4.569918,6.977978,10.82519,8.058231,12.14191,9.93212
33, 3.477862 1 -14.00287, 1.207521, 7, 8.232593,4.422361,7.139607,10.97029,8.107104,12.16996,9.838286
34, 3.26573 1 -13.79074, 1.419653, 7, 8.057612,4.290735,7.309979,11.12159,8.166713,12.20531,9.752781
35, 3.053598 1 -13.5786, 1.416511, 7, 7.890162,4.176546,7.488498,11.27885,8.236822,12.24792,9.675826
36, 2.753598 1 -13.5786, 1.416511, 6, 7.957795,4.30969,7.785994,11.57165,8.496758,12.49144,9.833671
37, 2.453598 1 -13.5786, 1.416511, 6, 8.036064,4.459072,8.083674,11.86482,8.759254,12.73738,9.998027
38, 2.153599 1 -13.5786, 1.416511, 6, 8.124664,4.623118,8.38152,12.15832,9.024088,12.98559,10.16858
39, 1.853599 1 -13.5786, 1.416511, 6, 8.223261,4.800324,8.679515,12.45213,9.29106,13.23594,10.34502
40, 1.641467 1 -13.36647, 1.204379, 7, 8.101892,4.771306,8.869324,12.62011,9.389514,13.30117,10.30599
41, 1.429335 1 -13.15434, 0.9922464, 7, 7.989951,4.761051,9.065088,12.79292,9.496428,13.37281,10.27557
42, 1.217203 1 -12.94221, 0.8301799, 7, 7.887836,4.76968,9.266431,12.97037,9.611519,13.45076,10.25385
43, 1.005071 1 -12.73007, 0.7414471, 7, 7.795936,4.797092,9.472997,13.15227,9.734499,13.53491,10.24087
44, 0.7929386 1 -12.51794, 0.7116981, 7, 7.714614,4.842968,9.684452,13.33844,9.865072,13.62515,10.23667
45, 0.7929386 1 -12.21794, 0.6255422, 0, 7.457245,4.679825,9.691453,13.30971,9.774462,13.49212,10.02692
46, 0.7929386 1 -11.91794, 0.6160388, 0, 7.203176,4.530694,9.707726,13.2877,9.692294,13.36449,9.821858
47, 0.7929386 1 -11.61794, 0.6160388, 0, 6.952767,4.396999,9.733221,13.27243,9.618785,13.24243,9.62178
48, 0.7929386 1 -11.31794, 0.6160388, 0, 6.70643,4.28019,9.767868,13.26393,9.554134,13.12609,9.427006
49, 0.7929386 1 -11.01794, 0.6160388, 0, 6.46463,4.18168,9.81157,13.26222,9.498523,13.01563,9.237867
50, 0.7929386 1 -10.71794, 0.6160388, 0, 6.227894,4.102788,9.864206,13.26729,9.45211,12.91119,9.054721
51, 0.7929386 1 -10.41794, 0.6160388, 0, 5.996825,4.044662,9.925635,13.27913,9.415033,12.81294,8.877935
52, 0.7929386 1 -10.11794, 0.6160388, 0, 5.7721,4.008206,9.995694,13.29774,9.387402,12.72099,8.707899
53, 0.7929386 1 -9.81794, 0.6160388, 0, 5.554491,3.994013,10.0742,13.32308,9.369299,12.63551,8.545014
54, 0.7929386 1 -9.51794, 0.6160388, 0, 5.344867,4.002319,10.16097,13.35511,9.360781,12.55661,8.389698
55, 0.7929386 1 -9.217939, 0.6160388, 0, 5.144205,4.032987,10.25577,13.39378,9.361874,12.48442,8.242378
