Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.69 1 -13.915, 0.8000433, 6, 11.35267,8.920239,2.577187,3.135576,5.177181,7.564077,9.80559
2, 12.39 1 -13.915, 0.5116706, 6, 11.1433,8.65556,2.324682,3.277316,5.036964,7.580112,9.66681
3, 12.39 1 -14.215, 0.7028675, 4, 11.36204,8.802871,2.507334,3.539003,5.307427,7.879338,9.935576
4, 12.39 1 -14.515, 0.6953878, 4, 11.58443,8.957809,2.710959,3.806348,5.580911,8.178621,10.20608
5, 12.39 1 -14.815, 0.395388, 4, 11.81025,9.119987,2.93119,4.078238,5.856991,8.477955,10.4782
6, 12.09 1 -14.815, 0.395388, 6, 11.61689,8.871428,2.744836,4.209631,5.7491,8.502855,10.35713
7, 11.79 1 -14.815, 0.3255065, 6, 11.42813,8.626139,2.579996,4.357748,5.655082,8.53823,10.24343
8, 11.49 1 -14.815, 0.395388, 6, 11.2442,8.38441,2.441032,4.520944,5.575639,8.58395,10.13733
9, 11.19 1 -14.815, 0.395388, 6, 11.06535,8.146557,2.332572,4.697649,5.511402,8.639852,10.03908
10, 10.89 1 -14.815, 0.395388, 6, 10.89183,7.912929,2.259014,4.886396,5.462907,8.705737,9.948908
11, 10.59 1 -14.815, 0.395388, 6, 10.7239,7.683911,2.223826,5.085847,5.430576,8.781384,9.867036
12, 10.29 1 -14.815, 0.395388, 6, 10.56182,7.459929,2.228824,5.294791,5.414698,8.866539,9.793673
13, 9.989998 1 -14.815, 0.395388, 6, 10.40587,7.24145,2.273744,5.512149,5.415419,8.960935,9.729011
14, 9.689998 1 -14.815, 0.395388, 6, 10.25632,7.028986,2.356304,5.736964,5.432731,9.064281,9.673225
15, 9.389997 1 -14.815, 0.3372597, 6, 10.11346,6.823101,2.472736,5.968394,5.466476,9.176274,9.62647
16, 9.089997 1 -14.815, 0.395388, 6, 9.977576,6.624406,2.618527,6.205699,5.516355,9.296603,9.588877
17, 8.789997 1 -14.815, 0.395388, 6, 9.848961,6.433569,2.789075,6.44823,5.581933,9.424949,9.560554
18, 8.489997 1 -14.815, 0.3758626, 6, 9.7279,6.251309,2.980134,6.695419,5.662665,9.560988,9.541583
19, 8.189997 1 -14.815, 0.3463968, 6, 9.614678,6.078398,3.188017,6.94677,5.757914,9.704397,9.532022
20, 7.889997 1 -14.815, 0.395388, 6, 9.509576,5.915656,3.40965,7.201846,5.866974,9.854855,9.531898
21, 7.589996 1 -14.815, 0.395388, 6, 9.412866,5.763943,3.642522,7.460265,5.989089,10.01204,9.541211
22, 7.289996 1 -14.815, 0.3798318, 6, 9.324807,5.624153,3.884614,7.721692,6.123478,10.17565,9.559935
23, 6.989996 1 -14.815, 0.3814516, 6, 9.245649,5.497195,4.134306,7.985832,6.269353,10.34537,9.588012
24, 6.689996 1 -14.815, 0.395388, 6, 9.175622,5.383977,4.390301,8.252422,6.425932,10.52091,9.625362
25, 6.389996 1 -14.815, 0.395388, 6, 9.114935,5.285382,4.651559,8.521235,6.592451,10.70198,9.671879
26, 6.089995 1 -14.815, 0.330528, 6, 9.063777,5.202242,4.917241,8.792066,6.768176,10.8883,9.727429
27, 5.789995 1 -14.815, 0.395388, 6, 9.022308,5.135307,5.186667,9.064734,6.952411,11.07962,9.79186
28, 5.489995 1 -14.815, 0.395388, 6, 8.990664,5.085217,5.459284,9.339078,7.144496,11.27567,9.864996
29, 5.189995 1 -14.815, 0.395388, 6, 8.968949,5.052474,5.734635,9.614954,7.343815,11.47622,9.946647
30, 4.889995 1 -14.815, 0.3255065, 6, 8.957234,5.037415,6.012345,9.892236,7.549797,11.68103,10.0366
31, 4.589994 1 -14.815, 0.395388, 6, 8.955561,5.040199,6.292103,10.17081,7.761909,11.88988,10.13465
32, 4.289994 1 -14.815, 0.395388, 6, 8.963931,5.060797,6.573646,10.45056,7.979664,12.10257,10.24054
33, 3.989994 1 -14.815, 0.395388, 6, 8.98232,5.098992,6.856754,10.73141,8.202613,12.31889,10.35405
34, 3.689994 1 -14.815, 0.395388, 6, 9.010664,5.154394,7.141242,11.01327,8.430341,12.53865,10.47492
35, 3.389994 1 -14.815, 0.395388, 6, 9.048871,5.226456,7.42695,11.29607,8.662474,12.76169,10.6029
36, 3.089994 1 -14.815, 0.395388, 6, 9.096817,5.314499,7.713744,11.57973,8.898666,12.98782,10.73775
37, 2.789994 1 -14.815, 0.395388, 6, 9.154347,5.417745,8.001507,11.8642,9.138603,13.21689,10.87919
38, 2.489995 1 -14.815, 0.3372748, 6, 9.221284,5.535342,8.290136,12.14941,9.381997,13.44876,11.02699
39, 2.189995 1 -14.815, 0.395388, 6, 9.297423,5.666399,8.579546,12.43532,9.628586,13.68327,11.18088
40, 1.889995 1 -14.815, 0.395388, 6, 9.382542,5.810002,8.86966,12.72187,9.878131,13.9203,11.34062
41, 1.589995 1 -14.815, 0.3758626, 6, 9.476397,5.965248,9.160411,13.00904,10.13041,14.15972,11.50597
42, 1.289995 1 -14.815, 0.3463968, 6, 9.578732,6.131251,9.451739,13.29677,10.38523,14.4014,11.67669
