Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
1, 12.69 1 -13.915, 0.8000433, 6, 11.35267,8.920239,2.577187,3.135576,5.177181,7.564077,9.80559
2, 12.39 1 -13.915, 0.5116706, 6, 11.1433,8.65556,2.324682,3.277316,5.036964,7.580112,9.66681
3, 12.09 1 -13.915, 0.2361502, 6, 10.93814,8.393258,2.084802,3.439444,4.91109,7.607951,9.535452
4, 11.79 1 -13.915, 0.1750016, 6, 10.73746,8.133562,1.862433,3.619218,4.800688,7.647467,9.411826
5, 11.49 1 -13.915, 0.1750016, 6, 10.54149,7.87673,1.664605,3.814146,4.706847,7.698479,9.296242
6, 11.19 1 -13.915, 0.1750016, 6, 10.35051,7.623053,1.501055,4.022025,4.630573,7.760761,9.189001
7, 10.89 1 -13.915, 0.1750016, 6, 10.16479,7.372855,1.383987,4.240949,4.572746,7.834043,9.0904
8, 10.59 1 -13.915, 0.1750016, 6, 9.984638,7.126503,1.325774,4.469298,4.534072,7.918021,9.000722
9, 10.29 1 -13.915, 0.1750016, 6, 9.810352,6.884409,1.334141,4.705698,4.515043,8.012359,8.920237
10, 9.989998 1 -13.915, 0.1750016, 6, 9.642251,6.647041,1.407902,4.948996,4.515907,8.116693,8.849195
11, 9.689998 1 -13.915, 0.1750016, 6, 9.480665,6.41492,1.537675,5.198224,4.536653,8.230647,8.787827
12, 9.389997 1 -13.915, 0.1750016, 6, 9.325932,6.18864,1.71076,5.452569,4.57701,8.353824,8.736334
13, 9.089997 1 -13.915, 0.1750016, 6, 9.178399,5.968862,1.915452,5.711346,4.636467,8.485824,8.694892
14, 8.789997 1 -13.915, 0.2949957, 6, 9.038419,5.756333,2.142712,5.973981,4.7143,8.626241,8.663648
15, 8.489997 1 -13.915, 0.5597362, 6, 8.906346,5.551885,2.386099,6.239985,4.809618,8.774672,8.642709
16, 8.189997 1 -13.915, 0.8789897, 6, 8.78254,5.356442,2.64116,6.508947,4.921406,8.930717,8.632153
17, 7.889997 1 -13.915, 1.14335, 6, 8.667353,5.171028,2.904821,6.780514,5.048568,9.093983,8.632015
18, 7.589996 1 -13.915, 1.295388, 6, 8.561133,4.996758,3.17494,7.054384,5.189975,9.26409,8.642298
19, 7.289996 1 -13.915, 1.295388, 6, 8.464219,4.834836,3.45,7.330301,5.344497,9.440667,8.662964
20, 6.989996 1 -13.915, 1.295388, 6, 8.376933,4.686545,3.728909,7.608041,5.51103,9.623358,8.693939
21, 6.689996 1 -13.915, 1.295388, 6, 8.299579,4.553214,4.010862,7.887411,5.68852,9.811822,8.735114
22, 6.389996 1 -13.915, 1.295388, 6, 8.232437,4.436194,4.295262,8.168245,5.875973,10.00573,8.786345
23, 6.089995 1 -13.915, 1.295388, 6, 8.175757,4.336804,4.581652,8.450397,6.072468,10.20478,8.847456
24, 5.789995 1 -13.915, 1.244412, 6, 8.129762,4.256281,4.869681,8.733738,6.277155,10.40867,8.918246
25, 5.489995 1 -13.915, 1.295388, 6, 8.094629,4.195711,5.159075,9.018157,6.489259,10.61712,8.998486
26, 5.189995 1 -13.915, 1.295388, 6, 8.070503,4.155965,5.449616,9.303555,6.708076,10.82987,9.087925
27, 4.889995 1 -13.915, 1.225507, 6, 8.057483,4.137644,5.74113,9.589844,6.932971,11.04667,9.186296
28, 4.589994 1 -13.915, 1.295388, 6, 8.055621,4.141034,6.033476,9.876946,7.163372,11.26728,9.293312
29, 4.289994 1 -13.915, 1.295388, 6, 8.064926,4.16608,6.326539,10.16479,7.398764,11.4915,9.408682
30, 3.989994 1 -13.915, 1.295388, 6, 8.08536,4.212396,6.620223,10.45333,7.638685,11.7191,9.5321
31, 3.689994 1 -13.915, 1.295388, 6, 8.116837,4.279291,6.914449,10.74249,7.882722,11.9499,9.663259
32, 3.389994 1 -13.915, 1.295388, 6, 8.15923,4.365821,7.209151,11.03222,8.130505,12.18372,9.801847
33, 3.089994 1 -13.915, 1.295388, 6, 8.212372,4.470844,7.504273,11.3225,8.381701,12.42038,9.947554
34, 2.789994 1 -13.915, 1.295388, 6, 8.276052,4.593093,7.799768,11.61326,8.636013,12.65973,10.10007
35, 2.489995 1 -13.915, 1.295388, 6, 8.350033,4.731233,8.095593,11.90449,8.893173,12.90161,10.2591
36, 2.189995 1 -13.915, 1.295388, 6, 8.434042,4.883915,8.391715,12.19614,9.152941,13.14589,10.42433
37, 1.977863 1 -13.70287, 0.1355533, 7, 8.298571,4.825912,8.571253,12.35605,9.237427,13.20075,10.37185
38, 1.765731 1 -13.49074, 1.328644, 7, 8.171871,4.786045,8.757388,12.52111,9.330797,13.26217,10.32782
39, 1.553599 1 -13.2786, 1.116511, 7, 8.054358,4.76477,8.949712,12.69112,9.432789,13.33007,10.29234
40, 1.341467 1 -13.06647, 0.9183302, 7, 7.946439,4.762335,9.147831,12.86587,9.543124,13.40434,10.26552
41, 1.129335 1 -12.85434, 0.7993371, 7, 7.84851,4.778769,9.351379,13.04519,9.66152,13.48487,10.24741
42, 0.9172027 1 -12.64221, 0.7469245, 7, 7.760948,4.81388,9.560009,13.22888,9.78768,13.57156,10.23806
