Timestamp,Position,Nearest distance,Action,d2target, d2building, d2obstacle1, d2obstacle2, d2obstacle3, d2obstacle4, d2obstacle5
45, 0.6172026 1 -13.24221, 1.409989, 7, 8.431171,5.420466,9.881169,13.60867,10.28,14.12084,10.87974
46, 0.6172026 1 -12.94221, 1.213642, 0, 8.169781,5.233862,9.866034,13.56451,10.17174,13.97698,10.66227
47, 0.6172026 1 -12.64221, 0.9602275, 0, 7.911131,5.058179,9.860005,13.52685,10.07125,13.83813,10.44889
48, 0.6172026 1 -12.34221, 0.842589, 0, 7.655499,4.894593,9.863104,13.49577,9.978781,13.70444,10.23985
49, 0.6172026 1 -12.04221, 0.7917747, 0, 7.403198,4.744355,9.875319,13.47129,9.894542,13.57606,10.03542
50, 0.6172026 1 -11.74221, 0.7917747, 0, 7.15458,4.60877,9.896617,13.45346,9.81875,13.45315,9.835896
51, 0.6172026 1 -11.44221, 0.7917747, 0, 6.910043,4.489168,9.926939,13.4423,9.751602,13.33585,9.64158
52, 0.6172026 1 -11.14221, 0.7917747, 0, 6.670035,4.386854,9.966205,13.43784,9.693278,13.22432,9.452792
53, 0.6172026 1 -10.84221, 0.7917747, 0, 6.435064,4.303063,10.01431,13.44007,9.643938,13.11871,9.26987
54, 0.6172026 1 -10.5422, 0.7917747, 0, 6.2057,4.238893,10.07112,13.44899,9.603721,13.01915,9.093167
55, 0.6172026 1 -10.2422, 0.1750002, 0, 5.982591,4.195245,10.1365,13.46459,9.57274,12.92579,8.923055
56, 0.6172026 1 -9.942204, 0.7917747, 0, 5.766461,4.172762,10.21027,13.48685,9.551086,12.83877,8.759914
57, 0.6172026 1 -9.642204, 0.7917747, 0, 5.558125,4.171787,10.29227,13.51574,9.538823,12.7582,8.604145
58, 0.6172026 1 -9.342204, 0.7917747, 0, 5.35849,4.192335,10.38229,13.5512,9.535987,12.68423,8.456153
59, 0.6172026 1 -9.042204, 0.7917747, 0, 5.168568,4.234092,10.48012,13.5932,9.542585,12.61695,8.316354
60, 0.6172026 1 -8.742204, 0.7917747, 0, 4.989467,4.296441,10.58556,13.64166,9.5586,12.55648,8.185166
61, 0.6172026 1 -8.442204, 0.7917747, 0, 4.822391,4.3785,10.69837,13.69653,9.583983,12.50292,8.063011
62, 0.6172026 1 -8.142203, 0.7917747, 0, 4.668633,4.479188,10.81833,13.75772,9.618661,12.45636,7.950306
63, 0.6172026 1 -7.842203, 0.7917747, 0, 4.529548,4.597281,10.9452,13.82515,9.662533,12.41687,7.847456
64, 0.6172026 1 -7.542203, 0.7917747, 0, 4.406528,4.731476,11.07874,13.89873,9.715474,12.38452,7.754856
65, 0.6172026 1 -7.242203, 0.842589, 0, 4.300949,4.880444,11.21872,13.97836,9.777338,12.35938,7.672874
66, 0.6172026 1 -6.942203, 0.9142628, 0, 4.214124,5.042876,11.36489,14.06395,9.847957,12.34148,7.601855
67, 0.9172027 1 -6.942203, 0.7047336, 2, 3.924941,4.797798,11.10562,13.77759,9.557759,12.04182,7.309371
68, 1.217203 1 -6.942203, 0.5230725, 2, 3.637511,4.55929,10.84845,13.49183,9.268187,11.74219,7.01752
69, 1.517203 1 -6.942203, 0.4529941, 2, 3.352284,4.32844,10.59353,13.20669,8.9793,11.44257,6.726387
70, 1.817203 1 -6.942203, 0.4529941, 2, 3.069874,4.106539,10.34103,12.92223,8.691164,11.14298,6.436068
71, 2.117203 1 -6.942203, 0.4529941, 2, 2.791138,3.895116,10.09114,12.63849,8.403859,10.84341,6.146679
72, 2.329334 1 -6.730071, 0.6651261, 1, 2.515902,3.915704,10.03853,12.51069,8.267356,10.62199,5.887027
73, 2.541466 1 -6.517939, 0.8772581, 1, 2.247016,3.958982,9.994658,12.38883,8.139625,10.40452,5.631386
74, 2.753598 1 -6.305807, 1.08939, 1, 1.987057,4.02422,9.959632,12.27311,8.021086,10.19123,5.380329
75, 2.96573 1 -6.093675, 1.301522, 1, 1.740031,4.11037,9.933546,12.16368,7.91215,9.982407,5.134526
76, 3.26573 1 -6.093675, 1.301522, 2, 1.443311,3.986543,9.708683,11.89082,7.640666,9.682513,4.838509
77, 3.56573 1 -6.093675, 1.027737, 2, 1.148297,3.881998,9.487977,11.61929,7.371391,9.382627,4.543015
78, 3.86573 1 -6.093675, 0.7461327, 2, 0.8567523,3.798328,9.271725,11.3492,7.104579,9.082747,4.248151
79, 4.077862 1 -5.881543, 0.4890081, 1, 0.6125168,3.961052,9.274039,11.25576,7.021481,8.879491,4.003005
